NSE/EXCELINFO,Excel Infoways Limited
NSE/ELECTHERM,Electrotherm (India) Limited
NSE/FORTIS,Fortis Healthcare Limited
NSE/INFOMEDIA,INFOMEDIA PRESS LIMITED
NSE/INFRATEL,Bharti Infratel Limited
NSE/JBFIND,JBF Industries Limited
NSE/MAHSEAMLES,Maharashtra Seamless Limited
NSE/MERCATOR,Mercator Limited
NSE/MOTILALOFS,Motilal Oswal Financial Services Limited
NSE/NESCO,Nesco Limited
NSE/NUCLEUS,Nucleus Software Exports Limited
NSE/ONMOBILE,OnMobile Global Limited
NSE/OPTOCIRCUI,Opto Circuits (India) Limited
NSE/ORIENTABRA,Orient Abrasives Limited
NSE/PETRONENGG,Petron Engineering Construction Limited
NSE/PITTILAM,Pitti Laminations Limited
NSE/PSB,Punjab & Sind Bank
NSE/RAJTV,Raj Television Network Limited
NSE/SATHAISPAT,Sathavahana Ispat Limited
NSE/STCINDIA,The State Trading Corporation of India Limited
NSE/SUNILHITEC,Sunil Hitech Engineers Limited
NSE/TATACOFFEE,Tata Coffee Limited
NSE/TULSI,Tulsi Extrusions Limited
NSE/VIJAYABANK,Vijaya Bank
NSE/VINATIORGA,Vinati Organics Limited
NSE/BSTRANSCOM,BS TransComm Limited
NSE/MANAKSIA,Manaksia Limited
NSE/BRITANNIA,Britannia Industries Limited
NSE/CRMFGETF,Canara Robeco Mutual Fund - Canara Robeco - Gold ETF
NSE/8KMILES,8K Miles Software Services Limited
NSE/VARUN,Varun Industries Limited
NSE/ACC,ACC Limited
NSE/ASAL,Automotive Stampings and Assemblies Limited
NSE/ADANIPORTS,Adani Ports and Special Economic Zone Limited
NSE/BANSWRAS,Banswara Syntex Limited
NSE/BIOCON,Biocon Limited
NSE/BAYERCROP,Bayer Cropscience Limited
NSE/CASTROLIND,Castrol India Limited
NSE/EUROCERA,Euro Ceramics Limited
NSE/INDORAMA,Indo Rama Synthetics (India) Limited
NSE/GOENKA,Goenka Diamond and Jewels Limited
NSE/GPPL,Gujarat Pipavav Port Limited
NSE/INDOTHAI,Indo Thai Securities Limited
NSE/INFINITE,Infinite Computer Solutions (India) Limited
NSE/INTENTECH,Intense Technologies Limited
NSE/KEYCORPSER,Keynote Corporate Services Limited
NSE/LFIC,Lakshmi Finance & Industrial Corporation Limited
NSE/LUXIND,Lux Industries Limited
NSE/MAHABANK,Bank of Maharashtra
NSE/MIDCAPIWIN,ICICI Prudential Midcap Select ETF
NSE/MOREPENLAB,Morepen Laboratories Limited
NSE/MUNJALSHOW,Munjal Showa Limited
NSE/NET4,Net 4 India Limited
NSE/PREMEXPLN,Premier Explosives Limited
NSE/OBEROIRLTY,Oberoi Realty Limited
NSE/RATNAMANI,Ratnamani Metals & Tubes Limited
NSE/REGENCERAM,Regency Ceramics Limited
NSE/RUPA,Rupa & Company Limited
NSE/ALLSEC,Allsec Technologies Limited
NSE/ARMANFIN,Arman Financial Services Limited
NSE/ARCHIES,Archies Limited
NSE/BHARATRAS,Bharat Rasayan Limited
NSE/APTECHT,Aptech Limited
NSE/AUSOMENT,Ausom Enterprise Limited
NSE/BATAINDIA,Bata India Limited
NSE/BLUEBLENDS,Blue Blends (I) Limited
NSE/GOKULAGRO,Gokul Agro Resources Limited
NSE/CAPF,Capital First Limited
NSE/CAPLIPOINT,Caplin Point Laboratories Limited
NSE/CARERATING,Credit Analysis And Research Limited
NSE/CCHHL,Country Club Hospitality & Holidays Limited
NSE/CINELINE,Cineline India Limited
NSE/CLNINDIA,Clariant Chemicals (India) Limited
NSE/DBCORP,D.B.Corp Limited
NSE/EIDPARRY,EID Parry India Limited
NSE/GOLDTECH,Goldstone Technologies Limited
NSE/EIHOTEL,EIH Limited
NSE/ELGIEQUIP,Elgi Equipments Limited
NSE/GANESHHOUC,Ganesh Housing Corporation Limited
NSE/EMMBI,Emmbi Industries Limited
NSE/GUJNREDVR,Gujarat NRE Coke Limited
NSE/EQUITAS,Equitas Holdings Limited
NSE/GAYAPROJ,Gayatri Projects Limited
NSE/GUJFLUORO,Gujarat Fluorochemicals Limited
NSE/GENUSPAPER,Genus Paper & Boards Limited
NSE/GINNIFILA,Ginni Filaments Limited
NSE/HARITASEAT,Harita Seating Systems Limited
NSE/GTNIND,GTN Industries Limited
NSE/HARRMALAYA,Harrisons Malayalam Limited
NSE/HIL,HIL Limited
NSE/HIKAL,Hikal Limited
NSE/HINDDORROL,Hindustan Dorr-Oliver Limited
NSE/JKTYRE,JK Tyre & Industries Limited
NSE/HISARMETAL,Hisar Metal Industries Limited
NSE/INDIANB,Indian Bank
NSE/KMSUGAR,K.M.Sugar Mills Limited
NSE/INDOSOLAR,Indosolar Limited
NSE/MAXVIL,Max Ventures and Industries Limited
NSE/LAKPRE,Lakshmi Precision Screws Limited
NSE/MANGCHEFER,Mangalore Chemicals & Fertilizers Limited
NSE/ORCHIDPHAR,Orchid Pharma Limited
NSE/MOTOGENFIN,The Motor & General Finance Limited
NSE/MRF,MRF Limited
NSE/MUTHOOTCAP,Muthoot Capital Services Limited
NSE/PETRONET,Petronet LNG Limited
NSE/PNBHOUSING,PNB Housing Finance Limited
NSE/ORTEL,Ortel Communications Limited
NSE/STAR,Strides Shasun Limited
NSE/PENINLAND,Peninsula Land Limited
NSE/REFEX,Refex Industries Limited
NSE/PHOENIXLTD,The Phoenix Mills Limited
NSE/RBLBANK,RBL Bank Limited
NSE/RAJOIL,Raj Oil Mills Limited
NSE/RUCHISOYA,Ruchi Soya Industries Limited
NSE/TCIDEVELOP,TCI Developers Limited
NSE/RAMASTEEL,Rama Steel Tubes Limited
NSE/RPOWER,Reliance Power Limited
NSE/SEAMECLTD,Seamec Limited
NSE/RUCHINFRA,Ruchi Infrastructure Limited
NSE/SABEVENTS,Sab Events & Governance Now Media Limited
NSE/SANGHVIMOV,Sanghvi Movers Limited
NSE/SEZAL,Sezal Glass Limited
NSE/SHILPAMED,Shilpa Medicare Limited
NSE/SNOWMAN,Snowman Logistics Limited
NSE/SPAL,S. P. Apparels Limited
NSE/TRF,TRF Limited
NSE/SPICEMOBI,Spice Mobility Limited
NSE/SUVEN,Suven Life Sciences Limited
NSE/TEXRAIL,Texmaco Rail & Engineering Limited
NSE/SURYALAXMI,Suryalakshmi Cotton Mills Limited
NSE/WANBURY,Wanbury Limited
NSE/WONDERLA,Wonderla Holidays Limited
NSE/AGCNET,AGC Networks Limited
NSE/CIGNITITEC,Cigniti Technologies Limited
NSE/DELTAMAGNT,Delta Magnets Limited
NSE/FCL,Fineotex Chemical Limited
NSE/GAL,Gyscoal Alloys Limited
NSE/GANDHITUBE,Gandhi Special Tubes Limited
NSE/JYOTHYLAB,Jyothy Laboratories Limited
NSE/MTNL,Mahanagar Telephone Nigam Limited
NSE/NLCINDIA,NLC India Limited
NSE/PIIND,PI Industries Limited
NSE/RELAXO,Relaxo Footwears Limited
NSE/SPLIL,SPL Industries Limited
NSE/SSWL,Steel Strips Wheels Limited
NSE/COREEDUTEC,CORE Education & Technologies Limited
NSE/AICHAMP,AI Champdany Industries Limited
NSE/ZENITHCOMP,Zenith Computers Limited
NSE/CMAHENDRA,C. Mahendra Exports Limited
NSE/HELIOSMATH,Helios And Matheson Information Technology Limited
NSE/INNOIND,Innoventive Industries Limited
NSE/SOFTTECHGR,Software Technology Group International Limited
NSE/PLETHICO,Plethico Pharmaceuticals Limited
NSE/SIRPAPER,The Sirpur Paper Mills Limited
NSE/WELPROJ,Welspun Projects Limited
NSE/PARABDRUGS,Parabolic Drugs Limited
NSE/ELECON,Elecon Engineering Company Limited
NSE/FIRSTWIN,First Winner Industries Limited
NSE/NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited
NSE/PANCHSHEEL,Panchsheel Organics Limited
NSE/KITPLYIND,Kitply Industries Limited
NSE/ESABINDIA,Esab India Limited
NSE/IBULHSGFIN,Indiabulls Housing Finance Limited
NSE/KRIDHANINF,Kridhan Infra Limited
NSE/RCF,Rashtriya Chemicals and Fertilizers Limited
NSE/SOMICONVEY,Somi Conveyor Beltings Limited
NSE/AGARIND,Agarwal Industrial Corporation Limited
NSE/CHROMATIC,Chromatic India Limited
NSE/ESTER,Ester Industries Limited
NSE/ICSA,ICSA (India) Limited
NSE/RELIGARE,Religare Enterprises Limited
NSE/ROSSELLIND,Rossell India Limited
NSE/SRGINFOTEC,SRG Infotec (India) Limited
NSE/SUNTV,Sun TV Network Limited
NSE/TCI,Transport Corporation of India Limited
NSE/VIPULLTD,Vipul Limited
NSE/AKSHOPTFBR,Aksh Optifibre Limited
NSE/LYKALABS,Lyka Labs Limited
NSE/GEOJITBNPP,Geojit BNP Paribas Financial Services Limited
NSE/DALMIABEL,Dalmia Bharat Enterprises Limited
NSE/PILIND,Peacock Industries Limited
NSE/DCB,Development Credit Bank Limited
NSE/BIRLACOT,Birla Cotsyn (India) Limited
NSE/HDFCSENETF,HDFCAMC - HDFCSENETF
NSE/NAVNETPUBL,Navneet Publications India Limited
NSE/UTVSOF,UTV Software Communications Limited
NSE/ITDC,India Tourism Development Corporation Limited
NSE/NECCLTD,North Eastern Carrying Corporation Limited
NSE/APCOTEXIND,Apcotex Industries Limited
NSE/COUNCODOS,Country Condo's Limited
NSE/HSCL,Himadri Speciality Chemical Limited
NSE/METALFORGE,Metalyst Forgings Limited
NSE/GOODLUCK,Goodluck India Limited
NSE/KARMAENG,Karma Energy Limited
NSE/LAXMIMACH,Lakshmi Machine Works Limited
NSE/GLAXO,GlaxoSmithKline Pharmaceuticals Limited
NSE/JMFINANCIL,JM Financial Limited
NSE/STRTECH,Sterlite Technologies Limited
NSE/NCOPPER,Nissan Copper Limited
NSE/FINANTECH,Financial Technologies (India) Limited
NSE/COFFEEDAY,Coffee Day Enterprises Limited
NSE/ORTINLABSS,Ortin Laboratories Limited
NSE/DUNCANSLTD,Duncans Industries Limited
NSE/BATLIBOI,Batliboi Limited
NSE/NEYVELILIG,Neyveli Lignite Corporation Limited
NSE/KSOILS,K S Oils Limited
NSE/JUPITER,Jupiter Bioscience Limited
NSE/TULSYAN,Tulsyan Nec Limited
NSE/SAYAJIHOTL,Sayaji Hotels Limited
NSE/KOVAI,Kovai Medical Center & Hospital Limited
NSE/CILNOVA,CIL Nova Petrochemicals Limited
NSE/INEOSSTYRO,INEOS Styrolution India Limited
NSE/KOTHARIPET,Kothari Petrochemicals Limited
NSE/JAYNECOIND,Jayaswal Neco Industries Limited
NSE/NITCO,Nitco Limited
NSE/SARDAEN,Sarda Energy & Minerals Limited
NSE/TNPETRO,Tamilnadu PetroProducts Limited
NSE/SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited
NSE/NICCO,Nicco Corporation Limited
NSE/GKB,GKB Ophthalmics Limited
NSE/LANCOIN,Lanco Industries Limited
NSE/PERIATEA,The Peria Karamalai Tea & Produce Company Limited
NSE/TV18BRDCST,TV18 Broadcast Limited
NSE/AMBIKCO,Ambika Cotton Mills Limited
NSE/DAMODARIND,Damodar Industries Limited
NSE/GOLDSHARE,UTI Mutual Fund - UTI Gold Exchange Traded Fund
NSE/AROGRANITE,Aro Granite Industries Limited
NSE/ATLASCYCLE,Atlas Cycles (Haryana) Limited
NSE/BOSCHLTD,Bosch Limited
NSE/KRBL,KRBL Limited
NSE/AUTOIND,Autoline Industries Limited
NSE/GTLINFRA,GTL Infrastructure Limited
NSE/LIQUIDBEES,R*Shares Liquid BeES
NSE/BLUECOAST,Blue Coast Hotels Limited
NSE/BSELINFRA,BSEL Infrastructure Realty Limited
NSE/CAIRN,Cairn India Limited
NSE/CEBBCO,Commercial Engineers & Body Builders Co Limited
NSE/CENTUM,Centum Electronics Limited
NSE/CUBEXTUB,Cubex Tubings Limited
NSE/CUB,City Union Bank Limited
NSE/GSS,GSS Infotech Limited
NSE/MANAPPURAM,Manappuram Finance Limited
NSE/CYBERTECH,Cybertech Systems And Software Limited
NSE/MEP,MEP Infrastructure Developers Limited
NSE/DHAMPURSUG,Dhampur Sugar Mills Limited
NSE/GROBTEA,The Grob Tea Company Limited
NSE/DQE,DQ Entertainment (International) Limited
NSE/EMAMIINFRA,Emami Infrastructure Limited
NSE/FEDERALBNK,The Federal Bank Limited
NSE/FMGOETZE,Federal-Mogul Goetze (India) Limited.
NSE/GREENPOWER,Orient Green Power Company Limited
NSE/MAWANASUG,Mawana Sugars Limited
NSE/SELMCL,SEL Manufacturing Company Limited
NSE/GRUH,Gruh Finance Limited
NSE/NESTLEIND,Nestle India Limited
NSE/RAMCOIND,Ramco Industries Limited
NSE/GSKCONS,GlaxoSmithKline Consumer Healthcare Limited
NSE/IFBIND,IFB Industries Limited
NSE/HAVELLS,Havells India Limited
NSE/HGS,Hinduja Global Solutions Limited
NSE/MADRASFERT,Madras Fertilizers Limited
NSE/VIJIFIN,Viji Finance Limited
NSE/HITECHGEAR,The Hi-Tech Gears Limited
NSE/HMT,HMT Limited
NSE/LCCINFOTEC,LCC Infotech Limited
NSE/MMTC,MMTC Limited
NSE/ICICIBANK,ICICI Bank Limited
NSE/KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited
NSE/MASTEK,Mastek Limited
NSE/ORIENTREF,Orient Refractories Limited
NSE/RELCAPITAL,Reliance Capital Limited
NSE/POLARIS,POLARIS CONSULTING & SERVICES LIMITED
NSE/PTL,PTL Enterprises Limited
NSE/RAMCOSYS,Ramco Systems Limited
NSE/RPPINFRA,R.P.P. Infra Projects Limited
NSE/SANGAMIND,Sangam (India) Limited
NSE/SIL,Standard Industries Limited
NSE/SHREYANIND,Shreyans Industries Limited
NSE/SOBHA,Sobha Limited
NSE/SONATSOFTW,Sonata Software Limited
NSE/TATAELXSI,Tata Elxsi Limited
NSE/TECHNOFAB,Technofab Engineering Limited
NSE/TTML,Tata Teleservices (Maharashtra) Limited
NSE/WEBELSOLAR,Websol Energy System Limited
NSE/WSTCSTPAPR,West Coast Paper Mills Limited
NSE/AMTL,Advance Metering Technology Limited
NSE/MANALIPETC,Manali Petrochemicals Limited
NSE/UNIVCABLES,Universal Cables Limited
NSE/ADSL,Allied Digital Services Limited
NSE/ALOKTEXT,Alok Industries Limited
NSE/EXIDEIND,Exide Industries Limited
NSE/AARTIIND,Aarti Industries Limited
NSE/CREST,Crest Ventures Limited
NSE/ABBOTINDIA,Abbott India Limited
NSE/ADORWELD,Ador Welding Limited
NSE/3IINFOTECH,3i Infotech Limited
NSE/CTE,Cambridge Technology Enterprises Limited
NSE/ADANIPOWER,Adani Power Limited
NSE/ANANTRAJ,Anant Raj Limited
NSE/BALKRISIND,Balkrishna Industries Limited
NSE/ALCHEM,Alchemist Limited
NSE/WELGLOB,Welspun Global Brands Limited
NSE/TPLPLASTEH,TPL Plastech Limited
NSE/AMAR,Amar Remedies Limited
NSE/KOPDRUGS,KDL Biotech Limited
NSE/INDIGO,InterGlobe Aviation Limited
NSE/ZUARIAGRO,Zuari Industries Limited
NSE/KLRF,KLRF Limited
NSE/SATYAMCOMP,Satyam Computer Services Limited
NSE/20MICRONS,20 Microns Limited
NSE/ALBERTDAVD,Albert David Limited
NSE/ALPA,Alpa Laboratories Limited
NSE/BALLARPUR,Ballarpur Industries Limited
NSE/BSLGOLDETF,Birla Sun Life Mutual Fund - Birla Sun Life Gold ETF - Growth
NSE/GUJAPOLLO,Gujarat Apollo Industries Limited
NSE/FOURSOFT,Four Soft Limited
NSE/EMKAY,Emkay Global Financial Services Limited
NSE/JCHAC,Johnson Controls Hitachi Air Conditioning India Limited
NSE/LAURUSLABS,Laurus Labs Limited
NSE/TRICOM,Tricom India Limited
NSE/BHARATWIRE,Bharat Wire Ropes Limited
NSE/ABHISHEK,Abhishek Corporation Limited
NSE/BLUEDART,Blue Dart Express Limited
NSE/CAMLINFINE,Camlin Fine Sciences Limited
NSE/COMPUSOFT,Compucom Software Limited
NSE/DAAWAT,LT Foods Limited
NSE/JUBILANT,Jubilant Life Sciences Limited
NSE/CYBERMEDIA,Cyber Media (India) Limited
NSE/KITEX,Kitex Garments Limited
NSE/REPRO,Repro India Limited
NSE/MAGNUM,Magnum Ventures Limited
NSE/SGFL,Shree Ganesh Forgings Limited
NSE/KALPATPOWR,Kalpataru Power Transmission Limited
NSE/COALINDIA,Coal India Limited
NSE/HORIZONINF,Horizon Infrastructure Limited
NSE/NIFTY_FIN_SERVICE,National Stock Exchange of India (NSE) Stock Index - Nifty Financial Services
NSE/NIFTY50_SHARIAH,National Stock Exchange of India (NSE) Stock Index - Nifty50 Shariah
NSE/INV20,ICICIPRAMC - INV20
NSE/FUTUREVENT,Future Ventures India Limited
NSE/SICAGEN,Sicagen India Limited
NSE/A2ZINFRA,A2Z INFRA ENGINEERING LIMITED
NSE/ADVANIHOTR,Advani Hotels & Resorts (India) Limited
NSE/TECHM,Tech Mahindra Limited
NSE/VADILALIND,Vadilal Industries Limited
NSE/FCH,Future Capital Holdings Limited
NSE/SIMPLEXCAS,Simplex Castings Limited
NSE/FOSECOIND,Foseco India Limited
NSE/SHARDACROP,Sharda Cropchem Limited
NSE/KRITIIND,Kriti Industries (India) Limited
NSE/ZEENEWS,Zee News Limited
NSE/INEABS,INEOS ABS (India) Limited
NSE/SBIGETS,SBI Mutual Fund - Gold ETF
NSE/KILITCH,Kilitch Drugs (India) Limited
NSE/OCL,OCL India Limited
NSE/SRSLTD,SRS Limited
NSE/TATASPONGE,Tata Sponge Iron Limited
NSE/TI,Tilaknagar Industries Limited
NSE/VARDMNPOLY,Vardhman Polytex Limited
NSE/KERNEX,Kernex Microsystems (India) Limited
NSE/AHLWEST,Asian Hotels (West) Limited
NSE/ARROWTEX,Arrow Textiles Limited
NSE/COSMOFILMS,Cosmo Films Limited
NSE/DEEPAKNTR,Deepak Nitrite Limited
NSE/DREDGECORP,Dredging Corporation of India Limited
NSE/ESCORTS,Escorts Limited
NSE/FACT,Fertilizers and Chemicals Travancore Limited
NSE/GOLDBEES,R*Shares Gold BeES
NSE/GRASIM,Grasim Industries Limited
NSE/GTOFFSHORE,GOL Offshore Limited
NSE/GUJALKALI,Gujarat Alkalies and Chemicals Limited
NSE/HFCL,Himachal Futuristic Communications Limited
NSE/HOTELEELA,Hotel Leela Venture Limited
NSE/IGL,Indraprastha Gas Limited
NSE/INDSWFTLTD,Ind-Swift Limited
NSE/KANANIIND,Kanani Industries Limited
NSE/KIRLOSIND,Kirloskar Industries Limited
NSE/MOTHERSUMI,Motherson Sumi Systems Limited
NSE/MURUDCERA,Murudeshwar Ceramics Limited
NSE/NCC,NCC Limited
NSE/OFSS,Oracle Financial Services Software Limited
NSE/QUICKHEAL,Quick Heal Technologies Limited
NSE/SMARTLINK,Smartlink Network Systems Limited
NSE/STINDIA,STI India Limited
NSE/TATACHEM,Tata Chemicals Limited
NSE/THERMAX,Thermax Limited
NSE/UTTAMSTL,Uttam Galva Steels Limited
NSE/VETO,Veto Switchgears And Cables Limited
NSE/ZUARI,Zuari Agro Chemicals Limited
NSE/ASTERSILI,Aster Silicates Limited
NSE/ARVIND,Arvind Limited
NSE/BURNPUR,Burnpur Cement Limited
NSE/INDUSINDBK,IndusInd Bank Limited
NSE/ISFT,Intrasoft Technologies Limited
NSE/MTEDUCARE,MT Educare Limited
NSE/MUTHOOTFIN,Muthoot Finance Limited
NSE/ORIENTBANK,Oriental Bank of Commerce
NSE/SOMATEX,Soma Textiles & Industries Limited
NSE/STEL,Stel Holdings Limited
NSE/TALWALKARS,Talwalkars Better Value Fitness Limited
NSE/TNTELE,Tamilnadu Telecommunication Limited
NSE/USHERAGRO,Usher Agro Limited
NSE/ADANIENT,Adani Enterprises Limited
NSE/GSLNOVA,GSL Nova Petrochemicals Limited
NSE/NOL,National Oxygen Limited
NSE/EMAMILTD,Emami Limited
NSE/SEQUENT,Sequent Scientific Limited
NSE/RJL,Renaissance Jewellery Limited
NSE/DENSO,Denso India Limited
NSE/HIRAFERRO,Hira Ferro Alloys Limited
NSE/AKZOINDIA,Akzo Nobel India Limited
NSE/BINDALAGRO,Oswal Chemicals & Fertilizers Limited
NSE/ANGIND,ANG Industries Limited
NSE/DTIL,Dhunseri Tea & Industries Limited
NSE/AFL,Accel Frontline Limited
NSE/CYIENT,Cyient Limited
NSE/GARWALLROP,Garware Wall Ropes Limited
NSE/HANUNG,Hanung Toys and Textiles Limited
NSE/HTMEDIA,HT Media Limited
NSE/KINGFA,Kingfa Science & Technology (India) Limited
NSE/KESARENT,Kesar Enterprises Limited
NSE/KNRCON,KNR Constructions Limited
NSE/MMFL,MM Forgings Limited
NSE/NAKODA,Nakoda Limited
NSE/NAHARPOLY,Nahar Poly Films Limited
NSE/ORBTEXP,Orbit Exports Limited
NSE/NORBTEAEXP,Norben Tea & Exports Limited
NSE/RADIOCITY,Music Broadcast Limited
NSE/RAMKY,Ramky Infrastructure Limited
NSE/SEPOWER,S.E. Power Limited
NSE/SKFINDIA,SKF India Limited
NSE/SUPERHOUSE,Superhouse Limited
NSE/TALBROAUTO,Talbros Automotive Components Limited
NSE/V2RETAIL,V2 Retail Limited
NSE/VISASTEEL,Visa Steel Limited
NSE/SURYAPHARM,Surya Pharmaceutical Limited
NSE/CNXFINANCE,National Stock Exchange of India Stock Index - CNX FINANCE
NSE/NIFTYMIDCAP,National Stock Exchange of India Stock Index - NIFTY MIDCAP 50
NSE/IPGETF,ICICI Prudential Mutual Fund-ICICI Prudential Gold Exchange Traded Fund
NSE/PROVOGUE,Provogue (India) Limited
NSE/WWIL,Wire and Wireless (India) Limited
NSE/EMPEESUG,Empee Sugars and Chemicals Limited
NSE/CLUTCHAUTO,Clutch Auto Limited
NSE/SAMBHAAV,Sambhaav Media Limited
NSE/SOLARINDS,Solar Industries India Limited
NSE/TARAJEWELS,Tara Jewels Limited
NSE/IFBAGRO,IFB Agro Industries Limited
NSE/UNIPHOS,United Phosphorus Limited
NSE/JINDALSAW,Jindal Saw Limited
NSE/PALRED,Palred Technologies Limited
NSE/PARAL,Parekh Aluminex Limited
NSE/ARL,Arvind Remedies Limited
NSE/LUMAXAUTO,Lumax Automotive Systems Limited
NSE/CNX_DEFTY,National Stock Exchange of India (NSE) Stock Index - CNX Defty
NSE/GLORY,Glory Polyfilms Limited
NSE/HCIL,Himadri Chemicals and Industries Limited
NSE/ALEMBICLTD,Alembic Limited
NSE/AVANTIFEED,Avanti Feeds Limited
NSE/BIRLACABLE,Birla Cable Limited
NSE/EVERESTIND,Everest Industries Limited
NSE/GLENMARK,Glenmark Pharmaceuticals Limited
NSE/HPL,HPL Electric & Power Limited
NSE/PREMIERPOL,Premier Polyfilm Limited
NSE/SUZLON,Suzlon Energy Limited
NSE/MALWACOTT,Malwa Cotton Spg. Mills Limited
NSE/MCDHOLDING,McDowell Holdings Limited
NSE/SURANACORP,Surana Corporation Limited
NSE/FRETAIL,Future Retail Limited
NSE/HERCULES,Hercules Hoists Limited
NSE/IMPEXFERRO,Impex Ferro Tech Limited
NSE/DRDATSONS,Dr. Datson's Labs Limited
NSE/MASKINVEST,Mask Investments Limited
NSE/METKORE,Metkore Alloys & Industries Limited
NSE/NAVINFLUOR,Navin Fluorine International Limited
NSE/BEPL,Bhansali Engineering Polymers Limited
NSE/CNOVAPETRO,CIL Nova Petrochemicals Limited
NSE/DEN,Den Networks Limited
NSE/HEXATRADEX,Hexa Tradex Limited
NSE/NAHARSPING,Nahar Spinning Mills Limited
NSE/PIONEEREMB,Pioneer Embroideries Limited
NSE/PVP,PVP Ventures Limited
NSE/RSSOFTWARE,R. S. Software (India) Limited
NSE/SMLISUZU,SML Isuzu Limited
NSE/SURANATP,Surana Telecom and Power Limited
NSE/TAJGVK,Taj GVK Hotels & Resorts Limited
NSE/UGARSUGAR,The Ugar Sugar Works Limited
NSE/ASAHIINDIA,Asahi India Glass Limited
NSE/CONCOR,Container Corporation of India Limited
NSE/GETD,GE T&D India Limited
NSE/GPIL,Godawari Power And Ispat limited
NSE/HINDZINC,Hindustan Zinc Limited
NSE/IZMO,IZMO Limited
NSE/PRISMCEM,Prism Cement Limited
NSE/SETFNIFBK,SBI-ETF Nifty Bank
NSE/SHREERAMA,Shree Rama Multi-Tech Limited
NSE/STERTOOLS,Sterling Tools Limited
NSE/VASWANI,Vaswani Industries Limited
NSE/VIKASECO,Vikas EcoTech Limited
NSE/ANIKINDS,Anik Industries Limited
NSE/APOLLOTYRE,Apollo Tyres Limited
NSE/IIFL,IIFL Holdings Limited
NSE/JITFINFRA,JITF Infralogistics Limited
NSE/KREBSBIO,Krebs Biochemicals and Industries Limited
NSE/DCMSRMCONS,DCM Shriram Consolidated Limited
NSE/IOLN,IOL Netcom Limited
NSE/EXCEL,Excel Realty N Infra Limited
NSE/QGOLDHALF,Quantum Gold Fund -Exchange Traded Fund (ETF)
NSE/TERASOFT,Tera Software Limited
NSE/HINDCOMPOS,Hindustan Composites Limited
NSE/NAHARCAP,Nahar Capital and Financial Services Limited
NSE/COMPINFO,Compuage Infocom Limited
